frame_idx,timestamp_ms,running_mode,hand,handedness_score,es_dominante,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
85,1418,image,Right,0.979262,1,0.273786843,0.262768149,0.260727942,0.258586526,0.251917362,0.272444487,0.289893806,0.298797369,0.303568512,0.285270303,0.303630978,0.313374341,0.318406820,0.296550810,0.314354837,0.322511375,0.325775236,0.306594670,0.320497900,0.326962501,0.329774022,0.617812574,0.575178206,0.528845370,0.490552336,0.462072134,0.530336022,0.488867700,0.470476866,0.458907425,0.548765779,0.503895402,0.483280838,0.471697748,0.570584118,0.528330266,0.510270715,0.500109494,0.593429029,0.561063707,0.546856046,0.538807333,0.000000055,-0.004664252,-0.012087760,-0.018779581,-0.026063802,-0.023080075,-0.031947318,-0.034861900,-0.035901573,-0.025207222,-0.032988403,-0.034663156,-0.035724409,-0.026765149,-0.033784114,-0.034892466,-0.035232335,-0.028067015,-0.033573683,-0.034084253,-0.033914808
86,1435,image,Right,0.96309,1,0.265544385,0.256018311,0.253668666,0.252496839,0.243922234,0.259768516,0.274091810,0.284271300,0.291578531,0.271256715,0.287072241,0.298057258,0.306092590,0.282472759,0.297574908,0.308494747,0.316549659,0.292692065,0.305423260,0.313643396,0.320505291,0.615813196,0.579989314,0.534529865,0.497844368,0.470658362,0.542313933,0.507215381,0.488613933,0.473732203,0.562680542,0.526061773,0.503407061,0.486978173,0.585841954,0.552685320,0.532378674,0.515169144,0.608978093,0.583609998,0.567656636,0.553037047,0.000000115,-0.007158656,-0.014856840,-0.021365196,-0.028179284,-0.025997048,-0.037694592,-0.043009836,-0.046029832,-0.028225858,-0.039050594,-0.042295810,-0.044712778,-0.030282121,-0.040730342,-0.043153659,-0.044452760,-0.032269727,-0.041329302,-0.043680798,-0.044970978
87,1451,image,Right,0.9467,1,0.255925804,0.246520504,0.244138584,0.243665174,0.234532073,0.248442084,0.261307746,0.271132916,0.278375506,0.259826988,0.274340957,0.285663366,0.294499516,0.271514028,0.284903079,0.295431077,0.303334504,0.282395065,0.294131786,0.301535845,0.307823211,0.630252540,0.593620539,0.543908715,0.504557252,0.479413420,0.554771721,0.523223400,0.505481720,0.490800768,0.575298607,0.541768670,0.519047737,0.501363695,0.597711265,0.567666650,0.548324943,0.529999733,0.619882941,0.596108377,0.582623601,0.568826079,0.000000104,-0.006398555,-0.012753212,-0.017982811,-0.023335639,-0.023421012,-0.035145510,-0.040937990,-0.044427112,-0.025960092,-0.037080094,-0.040789604,-0.043570288,-0.028420420,-0.040010624,-0.042869844,-0.044291928,-0.030772580,-0.041166961,-0.043891758,-0.045363661
88,1468,image,Right,0.955693,1,0.249905601,0.240825653,0.238020062,0.235998824,0.226166487,0.239535213,0.251848608,0.262382507,0.269943357,0.250172943,0.263877124,0.275288075,0.283522725,0.261957437,0.274134964,0.284499526,0.291505337,0.273318827,0.284287393,0.291442186,0.296748579,0.639141142,0.601405919,0.551584125,0.513175666,0.487914801,0.568221688,0.536873579,0.519007564,0.504871488,0.590449691,0.555930316,0.532865465,0.516204536,0.613646507,0.583124578,0.563484609,0.545966268,0.635546982,0.611450076,0.597109675,0.582961917,0.000000124,-0.006834836,-0.013823476,-0.019498635,-0.025180291,-0.025585875,-0.037969690,-0.044043429,-0.047582179,-0.028018063,-0.039403744,-0.042547870,-0.044973768,-0.030323554,-0.041681852,-0.043166324,-0.043746289,-0.032620888,-0.042546429,-0.044256222,-0.045076892
89,1485,image,Right,0.959543,1,0.239059955,0.231839553,0.230297133,0.228323489,0.219063476,0.230631888,0.242543265,0.252971202,0.260264099,0.240626484,0.253094018,0.264604956,0.272533417,0.252332091,0.263348013,0.274084806,0.280680269,0.264333427,0.275603384,0.282364517,0.286494732,0.651014805,0.613222837,0.562099934,0.523540914,0.497113436,0.578726053,0.548220336,0.531901240,0.520732522,0.601325274,0.569053054,0.546639502,0.530473650,0.624477684,0.597633719,0.578044891,0.561099470,0.646608412,0.623767853,0.610746384,0.597679615,0.000000114,-0.006452098,-0.012914665,-0.018043848,-0.022936694,-0.024424179,-0.035925850,-0.041440230,-0.044526275,-0.026692687,-0.037069164,-0.039670609,-0.041705914,-0.028801691,-0.039582115,-0.040777680,-0.041106790,-0.030842228,-0.040181857,-0.041230384,-0.041494630
90,1502,image,Right,0.9372,1,0.232111901,0.227088884,0.224567592,0.221065655,0.212270290,0.223134488,0.232193023,0.241833702,0.249375522,0.232326254,0.242586464,0.253956705,0.262499183,0.243556902,0.253125250,0.263991624,0.271070153,0.255383015,0.265780181,0.272235334,0.276272953,0.653315604,0.616332531,0.569473386,0.534195900,0.505028427,0.589480639,0.564808190,0.546569824,0.531489968,0.611940265,0.585035920,0.562999010,0.545485556,0.633477092,0.611553073,0.591840804,0.573740661,0.653423250,0.637029886,0.623795927,0.610439658,0.000000127,-0.007094260,-0.013347636,-0.018311705,-0.023383765,-0.023690866,-0.034850527,-0.040673051,-0.044461817,-0.025775019,-0.036144000,-0.039416280,-0.042274971,-0.027833099,-0.039086636,-0.040897381,-0.041849606,-0.029920070,-0.039673325,-0.041215509,-0.042090744
91,1518,image,Right,0.965722,0,0.228064537,0.224365503,0.221297741,0.217107713,0.207303643,0.216612518,0.224552631,0.233318657,0.240087286,0.225235701,0.235485896,0.246135816,0.254155576,0.236852959,0.246223301,0.256192923,0.262874007,0.249672756,0.259270668,0.265222311,0.269428343,0.667435706,0.625908673,0.577029467,0.541760802,0.512688518,0.603576183,0.576332867,0.556725562,0.539726675,0.625416815,0.597436130,0.575443923,0.557887614,0.646469235,0.623695314,0.604347646,0.587128580,0.665412188,0.648473263,0.634410381,0.621069729,0.000000123,-0.007180416,-0.013358954,-0.018261237,-0.023342354,-0.024208009,-0.036041081,-0.042786203,-0.047340408,-0.026479179,-0.037159313,-0.040668231,-0.043916039,-0.028764302,-0.040039793,-0.041644223,-0.042665590,-0.031217216,-0.040725075,-0.042154957,-0.043177009
91,1518,image,Left,0.995969,1,0.732988298,0.743379176,0.759405136,0.773571074,0.788178861,0.768504560,0.773675263,0.765518844,0.758188546,0.755740345,0.754502237,0.744286418,0.737370431,0.740101576,0.737960279,0.728577793,0.722083211,0.725102603,0.720886648,0.713285625,0.708954871,0.711513519,0.684754610,0.661511064,0.643238664,0.624856472,0.704619944,0.680577159,0.654037833,0.630326271,0.723553896,0.692857862,0.658203602,0.636250257,0.736969352,0.707460940,0.678012729,0.660745144,0.744887292,0.720813990,0.700267971,0.690291464,-0.000000232,-0.013849663,-0.028094875,-0.039687030,-0.051497310,-0.045092650,-0.064234652,-0.073764667,-0.079582408,-0.047428627,-0.066856518,-0.071191318,-0.074594721,-0.049647871,-0.067792170,-0.066193260,-0.064860672,-0.052342832,-0.068871304,-0.069291934,-0.068545289
92,1535,image,Right,0.956983,0,0.223884597,0.220656678,0.216810405,0.211756811,0.202015251,0.211816475,0.220371738,0.228068486,0.234045282,0.220288187,0.232403323,0.241093144,0.247058243,0.230866671,0.242196426,0.250345916,0.254843175,0.241997167,0.252594918,0.257915944,0.260772914,0.664612412,0.620011806,0.576168597,0.545742452,0.518916428,0.607067347,0.581468284,0.563039660,0.547516406,0.628330231,0.599547505,0.579675615,0.564082325,0.648395896,0.625426888,0.608150184,0.593546152,0.666330755,0.653432727,0.641918659,0.632464826,0.000000137,-0.005745627,-0.010685215,-0.015021359,-0.019589236,-0.015421863,-0.024257410,-0.030033790,-0.034226801,-0.017880889,-0.024911214,-0.028276183,-0.031963225,-0.020583801,-0.028086523,-0.029036377,-0.030386250,-0.023607055,-0.029300116,-0.029236356,-0.029819649
92,1535,image,Left,0.993433,1,0.730046272,0.740790963,0.758504331,0.773737788,0.789729297,0.769877791,0.774125755,0.768679023,0.762588978,0.759124398,0.757420123,0.748107195,0.741342664,0.743702292,0.740369976,0.731629252,0.725356758,0.727943659,0.723517656,0.717468143,0.713606656,0.722832084,0.695079267,0.671011567,0.651798129,0.632485211,0.710880578,0.678996503,0.651522696,0.630949974,0.730578721,0.691929340,0.657999158,0.640680611,0.744218409,0.708070338,0.679020882,0.665049314,0.752277136,0.720805466,0.700386226,0.692632854,-0.000000270,-0.013431392,-0.024717655,-0.034039143,-0.043586042,-0.031566367,-0.048648756,-0.058823287,-0.064527608,-0.032522753,-0.047663335,-0.051351167,-0.053593576,-0.034233350,-0.048989911,-0.047083177,-0.044722736,-0.036759604,-0.049307339,-0.048248634,-0.045991696
