participante,fecha,secuencia_id,senas_ejecutadas,subtitulo_mostrado,interpretacion,exito,comentarios
P01,,S1,Name + Last_name + Help,,,,
P02,,S2,Help + Patience + Thanks,,,,
P03,,S3,Call + Name + Accept,,,,
P04,,S4,Give + Last_name + Thanks,,,,
P05,,S5,Appear + Name + Patience,,,,
P06,,S1,Name + Last_name + Help,,,,
P07,,S2,Help + Patience + Thanks,,,,
P08,,S3,Call + Name + Accept,,,,
P09,,S4,Give + Last_name + Thanks,,,,
P10,,S5,Appear + Name + Patience,,,,
